Gene,P_value,minus_log10_p
Leukotriene C4 synthase (LTC4S) gene,1.3823856573320467e-10,9.859370780777986
Zyxin,2.4355284732778464e-10,9.613406788812323
FAH Fumarylacetoacetate,6.577977412771947e-10,9.18190762211596
LYN V-yes-1 Yamaguchi sarcoma viral related oncogene homolog,9.846897254435025e-09,8.006700593619543
CD33 CD33 antigen (differentiation antigen),1.5145322164300653e-08,7.8197214841211595
Liver mRNA for interferon-gamma inducing factor(IGIF),3.610124227026674e-08,7.442477853445054
PRG1 Proteoglycan 1; secretory granule,6.156940644228055e-08,7.210635033189171
GB DEF = Homeodomain protein HoxA9 mRNA,7.15710601890389e-08,7.145262549492232
DF D component of complement (adipsin),8.917169547067967e-08,7.049772975798866
INDUCED MYELOID LEUKEMIA CELL DIFFERENTIATION PROTEIN MCL1,1.7406797460480244e-07,6.75928112395326
INTERLEUKIN-8 PRECURSOR,1.7554900496231405e-07,6.755601627836915
PEPTIDYL-PROLYL CIS-TRANS ISOMERASE; MITOCHONDRIAL PRECURSOR,1.9470733897104803e-07,6.710617678605493
Phosphotyrosine independent ligand p62 for the Lck SH2 domain mRNA,2.10841973112856e-07,6.676042928199748
CST3 Cystatin C (amyloid angiopathy and cerebral hemorrhage),3.186669908706736e-07,6.4966629206027475
ATP6C Vacuolar H+ ATPase proton channel subunit,3.6628703696332663e-07,6.436178450909342
CTSD Cathepsin D (lysosomal aspartyl protease),5.784753862898811e-07,6.237715115235823
Interleukin 8 (IL8) gene,6.225929194746452e-07,6.205795822700365
ITGAX Integrin; alpha X (antigen CD11C (p150); alpha polypeptide),8.188287844738458e-07,6.086806898888832
Epb72 gene exon 1,1.1196976892405144e-06,5.950899218059308
LGALS3 Lectin; galactoside-binding; soluble; 3 (galectin 3) (NOTE: redefinition of symbol),1.2595646633746872e-06,5.899779531837217
Thrombospondin-p50 gene extracted from Human thrombospondin-1 gene; partial cds,1.30895218448303e-06,5.8830762177689175
FTL Ferritin; light polypeptide,1.4803499145906003e-06,5.8296356170279475
Azurocidin gene,1.5229934733797196e-06,5.817301957780994
MAJOR HISTOCOMPATIBILITY COMPLEX ENHANCER-BINDING PROTEIN MAD3,1.6568795914119222e-06,5.780709051439105
PFC Properdin P factor; complement,2.0915313873581016e-06,5.67953561362978
Lysophospholipase homolog (HU-K5) mRNA,2.5532059136441814e-06,5.592914158343728
Lysozyme gene (EC 3.2.1.17),2.5844620207958635e-06,5.587629845496668
PPGB Protective protein for beta-galactosidase (galactosialidosis),2.727307715397587e-06,5.5642658589194625
HOX 2.2 gene extracted from Human Hox2.2 gene for a homeobox protein,3.439286807082057e-06,5.463531606225269
Catalase (EC 1.11.1.6) 5'flank and exon 1 mapping to chromosome 11; band p13 (and joined CDS),3.701277762358245e-06,5.431648322056201
FTH1 Ferritin heavy chain,4.925067698360872e-06,5.307587795456219
CD36 CD36 antigen (collagen type I receptor; thrombospondin receptor),5.353074503179908e-06,5.271396712137817
ADM Adrenomedullin,6.38108455361207e-06,5.195105500648905
CDC25A Cell division cycle 25A,6.4879306909187244e-06,5.187893798240847
APLP2 Amyloid beta (A4) precursor-like protein 2,7.802459686128585e-06,5.107768466576392
TIMP2 Tissue inhibitor of metalloproteinase 2,8.018707901484358e-06,5.095895606337244
C-myb gene extracted from Human (c-myb) gene; complete primary cds; and five complete alternatively spliced cds,8.994463821541927e-06,5.0460247207326745
NF-IL6-beta protein mRNA,9.591328656733396e-06,5.018121227206933
RNS2 Ribonuclease 2 (eosinophil-derived neurotoxin; EDN),1.2802134151973044e-05,4.892717626198472
ME491  gene extracted from H.sapiens gene for Me491/CD63 antigen,1.3485868889242457e-05,4.870121066886526
Nuclear Factor Nf-Il6,1.3816385405612799e-05,4.8596055607043205
TRANSCRIPTION FACTOR RELB,1.409805633225077e-05,4.850840758434282
PRKCD Protein kinase C; delta,1.4778531061176847e-05,4.83036873128147
Metargidin precursor mRNA,1.5329674703013015e-05,4.814467060813293
GB DEF = CD36 gene exon 15,1.5364909475258034e-05,4.813469994113214
SPI1 Spleen focus forming virus (SFFV) proviral integration oncogene spi1,1.5441062975759963e-05,4.81132280577382
GB DEF = Fas/Apo-1 (clone pCRTM11-Fasdelta(3;4)),1.6354659482824747e-05,4.786358493805569
ACTN2 Actinin alpha 2 ,1.6527258800342033e-05,4.78179917223657
Neuromedin B mRNA,1.7616536070949656e-05,4.7540794825961505
PLCB2 Phospholipase C; beta 2,1.8580116967298333e-05,4.730951556322338
Epican; Alt. Splice 11,1.9612535739296382e-05,4.707466252003346
SELL Leukocyte adhesion protein beta subunit,2.199811893375209e-05,4.657614454251377
SELL Leukocyte adhesion protein beta subunit,2.199811893375209e-05,4.657614454251377
CA2 Carbonic anhydrase II,2.3807864866743368e-05,4.623279551179336
Adenosine triphosphatase mRNA,2.42989406268533e-05,4.614412660144112
CMKBR7 Chemokine (C-C) receptor 7,2.4577546699243796e-05,4.609461470031961
CMKBR7 Chemokine (C-C) receptor 7,2.4577546699243796e-05,4.609461470031961
CSF1 Colony-stimulating factor 1 (M-CSF),2.5396962177843763e-05,4.595218227801321
